id,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price
6901257,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901257,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901258,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901259,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901260,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901261,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901262,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901263,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901264,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901265,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901266,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901267,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901268,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901269,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901270,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901271,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901272,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6901273,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
